ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 20:00:00,5.301,5.301,5.301,5.301,0.00000000,1726099199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 00:00:00,5.301,5.301,5.301,5.301,0.00000000,1726113599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 04:00:00,5.301,5.301,5.301,5.301,0.00000000,1726127999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 08:00:00,5.301,5.301,5.301,5.301,0.00000000,1726142399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 12:00:00,5.301,5.301,5.301,5.301,0.00000000,1726156799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 16:00:00,5.172,5.172,5.172,5.172,2.12000000,1726171199999,10.96464000,1,2.12000000,10.96464000,0
2024-09-12 20:00:00,5.172,5.172,5.172,5.172,0.00000000,1726185599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-13 00:00:00,5.172,5.172,5.172,5.172,0.00000000,1726199999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-13 04:00:00,5.177,5.177,5.173,5.173,8.45000000,1726214399999,43.72877000,2,4.22000000,21.83006000,0
2024-09-13 08:00:00,5.173,5.173,5.173,5.173,0.00000000,1726228799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-13 12:00:00,5.169,5.169,5.169,5.169,4.22000000,1726243199999,21.81318000,1,4.22000000,21.81318000,0
2024-09-13 16:00:00,5.169,5.169,5.169,5.169,0.00000000,1726257599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-13 20:00:00,5.283,5.283,5.283,5.283,8.44000000,1726271999999,44.58852000,2,0.00000000,0.00000000,0
2024-09-14 00:00:00,5.283,5.283,5.283,5.283,0.00000000,1726286399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-14 04:00:00,5.283,5.283,5.283,5.283,0.00000000,1726300799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-14 08:00:00,5.281,5.281,5.281,5.281,29.53000000,1726315199999,155.94793000,1,29.53000000,155.94793000,0
2024-09-14 12:00:00,5.281,5.281,5.281,5.281,0.00000000,1726329599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-14 16:00:00,5.281,5.281,5.281,5.281,0.00000000,1726343999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-14 20:00:00,5.281,5.281,5.281,5.281,0.00000000,1726358399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 00:00:00,5.281,5.281,5.281,5.281,0.00000000,1726372799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 04:00:00,5.281,5.281,5.281,5.281,0.00000000,1726387199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 08:00:00,5.281,5.281,5.281,5.281,0.00000000,1726401599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 12:00:00,5.281,5.281,5.281,5.281,0.00000000,1726415999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 16:00:00,5.281,5.281,5.281,5.281,0.00000000,1726430399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 20:00:00,5.281,5.281,5.281,5.281,0.00000000,1726444799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-16 00:00:00,5.281,5.281,5.281,5.281,0.00000000,1726459199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-16 04:00:00,5.281,5.281,5.281,5.281,0.00000000,1726473599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-16 08:00:00,5.281,5.281,5.281,5.281,0.00000000,1726487999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-16 12:00:00,5.281,5.281,5.281,5.281,0.00000000,1726502399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-16 16:00:00,4.801,4.801,4.801,4.801,6.45000000,1726516799999,30.96645000,2,0.00000000,0.00000000,0
2024-09-16 20:00:00,4.801,4.801,4.801,4.801,0.00000000,1726531199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-17 00:00:00,4.801,4.801,4.801,4.801,0.00000000,1726545599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-17 04:00:00,4.801,4.801,4.801,4.801,0.00000000,1726559999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-17 08:00:00,4.898,4.898,4.898,4.898,0.23000000,1726574399999,1.12654000,1,0.00000000,0.00000000,0
2024-09-17 12:00:00,4.898,4.898,4.898,4.898,0.00000000,1726588799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-17 16:00:00,4.898,4.898,4.898,4.898,0.00000000,1726603199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-17 20:00:00,4.898,4.898,4.898,4.898,0.00000000,1726617599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 00:00:00,4.898,4.898,4.898,4.898,0.00000000,1726631999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 04:00:00,4.898,4.898,4.898,4.898,0.00000000,1726646399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 08:00:00,4.898,4.898,4.898,4.898,0.00000000,1726660799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 12:00:00,4.898,4.898,4.898,4.898,0.00000000,1726675199999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 16:00:00,4.898,4.898,4.898,4.898,0.00000000,1726689599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-18 20:00:00,5.172,5.172,5.033,5.172,3.44000000,1726703999999,17.54565000,3,1.67000000,8.63724000,0
2024-09-19 00:00:00,5.172,5.172,5.172,5.172,0.00000000,1726718399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-19 04:00:00,5.172,5.172,5.172,5.172,0.00000000,1726732799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-19 08:00:00,5.275,5.321,5.275,5.321,1.02000000,1726747199999,5.40396000,2,0.51000000,2.69025000,0
2024-09-19 12:00:00,5.321,5.321,5.321,5.321,0.00000000,1726761599999,0.00000000,0,0.00000000,0.00000000,0
2024-09-19 16:00:00,5.517,5.517,5.44,5.44,4.93000000,1726775999999,26.84769000,3,0.37000000,2.04129000,0
2024-09-19 20:00:00,5.44,5.44,5.44,5.44,0.00000000,1726790399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-20 00:00:00,5.44,5.44,5.44,5.44,0.00000000,1726804799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-20 04:00:00,5.44,5.44,5.44,5.44,0.00000000,1726819199999,0.00000000,0,0.00000000,0.00000000,0
