date_time,price,type
2025-05-12 20:00:00,0.2166,bearish
2025-05-16 16:00:00,0.1845,bearish
2025-05-17 12:00:00,0.17,bearish
2025-06-22 08:00:00,0.1172,bearish
2025-07-07 08:00:00,0.1321,bearish
2025-07-13 00:00:00,0.1482,bearish
2025-08-04 04:00:00,0.1223,bearish
2025-09-07 04:00:00,0.106,bearish
2025-09-10 08:00:00,0.1176,bearish
2025-09-19 16:00:00,0.1249,bearish
2025-09-21 04:00:00,0.1178,bearish
2025-10-27 12:00:00,0.0942,bearish
2025-11-01 16:00:00,0.0809,bearish
2025-11-07 12:00:00,0.0647,bullish
2025-12-06 20:00:00,0.04,bearish
2026-03-02 20:00:00,0.0237,bullish
2026-03-10 12:00:00,0.0287,bullish
2026-03-21 04:00:00,0.0273,bullish
2026-03-25 08:00:00,0.0342,bullish
2026-05-09 04:00:00,0.0345,bullish
