date_time,price,type
2024-09-18 20:00:00,4886.0,bullish
2024-10-20 16:00:00,5152.0,bullish
2024-12-09 12:00:00,11458.0,bullish
2024-12-13 00:00:00,11372.0,bearish
2024-12-16 12:00:00,10950.0,bullish
2024-12-29 00:00:00,8641.0,bearish
2024-12-31 00:00:00,8200.0,bearish
2024-12-31 12:00:00,8329.0,bearish
2025-01-01 20:00:00,8388.0,bullish
2025-01-13 16:00:00,7732.0,bullish
2025-01-23 08:00:00,7547.0,bearish
2025-03-01 00:00:00,5250.0,bullish
2025-03-21 08:00:00,5075.0,bearish
2025-04-07 04:00:00,4258.0,bearish
2025-04-11 04:00:00,4358.0,bullish
2025-06-14 00:00:00,5005.0,bullish
2025-07-15 20:00:00,5584.0,bearish
2025-08-15 12:00:00,5513.0,bullish
2025-10-09 16:00:00,4942.0,bullish
2025-10-24 08:00:00,4793.0,bearish
2025-11-17 08:00:00,4232.0,bullish
2025-11-28 04:00:00,4129.0,bearish
2025-11-30 20:00:00,4053.0,bearish
2025-12-02 00:00:00,3729.0,bearish
2025-12-21 20:00:00,3391.0,bullish
2026-01-20 12:00:00,3353.0,bearish
2026-01-27 04:00:00,3352.0,bearish
2026-01-30 08:00:00,3110.0,bearish
2026-02-19 08:00:00,2801.0,bearish
2026-04-17 12:00:00,2792.0,bearish
2026-06-25 08:00:00,1658.0,bearish
2026-07-14 00:00:00,2177.0,bearish
2026-08-20 04:00:00,2134.0,bearish
