date_time,price,type
2024-09-19 08:00:00,0.0022325,bullish
2024-09-30 16:00:00,0.0024325,bearish
2024-10-10 20:00:00,0.0023075,bullish
2024-12-14 08:00:00,0.002213,bearish
2024-12-19 04:00:00,0.0020678,bearish
2025-02-21 20:00:00,0.0017878,bearish
2025-03-05 20:00:00,0.0016223,bullish
2025-03-24 04:00:00,0.0016,bullish
2025-04-15 04:00:00,0.0015379,bullish
2025-04-18 20:00:00,0.0015901,bullish
2025-04-19 12:00:00,0.0016299,bearish
2025-04-23 16:00:00,0.0016133,bullish
2025-04-26 16:00:00,0.0015753,bearish
2025-05-12 04:00:00,0.0016859,bullish
2025-06-02 20:00:00,0.0014869,bullish
2025-06-10 12:00:00,0.0014694,bullish
2025-06-15 20:00:00,0.0014544,bullish
2025-07-13 16:00:00,0.0013652,bearish
2025-08-17 04:00:00,0.00163,bullish
2025-08-30 16:00:00,0.0018494,bullish
2025-08-31 08:00:00,0.0018861,bullish
2025-10-04 04:00:00,0.0018712,bearish
2025-10-12 20:00:00,0.0017156,bearish
2025-10-13 04:00:00,0.0016923,bearish
2025-10-17 00:00:00,0.0017156,bearish
2025-10-17 20:00:00,0.0017273,bullish
2025-10-18 12:00:00,0.0017273,bullish
2025-10-22 04:00:00,0.0017039,bullish
2025-10-23 16:00:00,0.0017295,bullish
2025-10-25 16:00:00,0.0017391,bullish
2025-10-25 20:00:00,0.0017391,bearish
2025-10-31 12:00:00,0.0016923,bullish
2025-11-03 08:00:00,0.0016272,bearish
2025-11-13 12:00:00,0.0014907,bearish
2025-11-27 12:00:00,0.0015474,bearish
2025-11-28 12:00:00,0.0015272,bearish
2025-12-03 16:00:00,0.0015237,bullish
2025-12-05 08:00:00,0.0015,bearish
2025-12-07 08:00:00,0.0014693,bearish
2025-12-09 12:00:00,0.0014924,bullish
2026-01-02 12:00:00,0.0014506,bullish
2026-01-04 20:00:00,0.0014695,bearish
2026-01-06 12:00:00,0.0014941,bearish
2026-01-15 04:00:00,0.0014954,bearish
2026-01-18 12:00:00,0.0015,bearish
2026-01-22 12:00:00,0.0014443,bullish
2026-01-24 16:00:00,0.0014214,bullish
2026-02-02 08:00:00,0.0013272,bullish
2026-03-02 12:00:00,0.0012867,bearish
2026-03-12 12:00:00,0.001235,bearish
2026-03-12 20:00:00,0.0012278,bullish
2026-03-14 20:00:00,0.0012629,bearish
2026-03-16 00:00:00,0.00127,bearish
2026-03-28 00:00:00,0.0012487,bearish
2026-04-13 00:00:00,0.0011554,bullish
2026-04-15 08:00:00,0.0011507,bullish
2026-04-21 20:00:00,0.0011505,bearish
2026-05-19 12:00:00,0.0011019,bearish
2026-07-18 20:00:00,0.0011651,bullish
2026-07-29 00:00:00,0.0011472,bearish
