date_time,price,type
2024-09-29 08:00:00,0.4209,bullish
2024-10-07 08:00:00,0.8137,bearish
2024-10-25 08:00:00,1.1499,bearish
2024-10-29 04:00:00,0.977,bearish
2024-11-02 08:00:00,0.86,bearish
2024-11-06 00:00:00,0.8329,bearish
2024-12-14 20:00:00,0.8154,bearish
2025-01-08 00:00:00,0.7781,bearish
2025-02-16 12:00:00,0.5229,bullish
2025-04-02 00:00:00,0.3501,bearish
2025-04-29 08:00:00,0.6554,bearish
2025-05-07 00:00:00,0.5014,bearish
2025-07-09 08:00:00,0.4101,bearish
2025-07-16 12:00:00,0.4404,bullish
2025-07-25 16:00:00,1.0999,bearish
2025-08-02 16:00:00,0.7812,bullish
2025-10-29 16:00:00,0.5694,bearish
2025-11-07 04:00:00,0.41,bullish
2025-11-22 08:00:00,0.3349,bullish
2026-02-16 16:00:00,0.2619,bearish
2026-02-17 16:00:00,0.205,bearish
2026-03-18 08:00:00,0.1695,bullish
2026-06-03 20:00:00,0.151,bearish
2026-07-23 08:00:00,0.101,bearish
