date_time,price,type
2024-09-27 04:00:00,26.2,bullish
2024-10-28 20:00:00,22.52,bullish
2024-10-31 04:00:00,22.89,bearish
2024-11-01 16:00:00,22.23,bearish
2024-11-22 16:00:00,29.03,bullish
2024-12-10 08:00:00,46.13,bearish
2024-12-22 04:00:00,35.09,bullish
2025-01-24 16:00:00,35.3,bearish
2025-04-12 16:00:00,21.37,bearish
2025-06-07 20:00:00,21.4,bullish
2025-06-21 16:00:00,19.2,bearish
2025-07-16 12:00:00,22.61,bullish
2025-07-27 16:00:00,23.0,bullish
2025-08-21 08:00:00,22.1,bearish
2025-10-03 12:00:00,33.66,bearish
2025-12-17 08:00:00,40.0,bullish
2025-12-21 04:00:00,39.84,bearish
2025-12-22 12:00:00,38.98,bearish
2025-12-23 08:00:00,37.05,bearish
2026-01-09 20:00:00,38.39,bearish
2026-02-04 16:00:00,40.86,bearish
2026-02-12 16:00:00,33.58,bullish
2026-03-10 12:00:00,32.44,bearish
2026-04-21 04:00:00,34.32,bearish
2026-04-29 12:00:00,34.29,bearish
2026-08-29 04:00:00,38.8,bullish
